data,ano,mes,gestora,pos_brl_mil,pos_usd_mil,ptax,data_preco_b3,preco_itub4_brl,qtd_itub4,qtd_direta,qtd_cedida,qtd_obrig,valor_direta_mil,valor_cedida_mil,valor_obrig_mil,n_fundos_itub4,pl_mil,n_fundos_gestora,peso_itub4,delta_pos_brl_mil,delta_pos_usd_mil,delta_qtd_itub4
2018-10-31,2018,10,Claritas Investimentos,50546.7478604161,13596.2417248342,3.7177,2018-10-31,49.25,1026329.90579525,512862.860001562,513467.045793688,-116.808969184514,25258.4958550769,25288.2520053391,-5.75284173233732,5,1896050.56,10,0.0266589662358034,2178.33307721816,1515.9163462788,-69713.9370145826
2018-11-30,2018,11,Claritas Investimentos,50831.6367672465,13157.5691163634,3.8633,2018-11-30,36.02,1411205.90691967,938168.002331497,473037.904588174,-192.244481104213,33792.8114439805,17038.825323266,-6.92464620937374,5,1938096.44,10,0.0262276095854376,284.888906830485,-438.672608470835,384876.001124421
2018-12-31,2018,12,Claritas Investimentos,67846.4738371835,17509.6711668172,3.8748,2018-12-28,35.5,1911168.27710376,1245365.192087,665803.085016762,-160.822213129387,44210.4643190884,23636.009518095,-5.70918856609323,7,2056216.38,13,0.0329957851212057,17014.8370699369,4352.10205045389,499962.370184089
2019-01-31,2019,1,Claritas Investimentos,67490.1709496115,18480.8376323589,3.6519,2019-01-31,38.78,1740334.47523495,1733142.60714079,7191.86809416354,-838.544624245875,67211.2703049199,278.900644691662,-32.518760528255,7,2196311.88,13,0.0307288648593985,-356.302887571932,971.166465541672,-170833.801868805
2019-02-28,2019,2,Claritas Investimentos,61204.8613590458,16371.5023028075,3.7385,2019-02-28,35.23,1737293.82228345,1733826.25610993,3467.56617351083,-12.6738136464096,61082.699002753,122.162356292787,-0.446498454763011,7,2235936.51,13,0.0273732554950971,-6285.30959056574,-2109.33532955143,-3040.6529515083
2019-03-29,2019,3,Claritas Investimentos,54921.7268643086,14094.4201155615,3.8967,2019-03-29,34.43,1595170.69022099,1590670.27164136,4500.41857962609,-24.8999443491959,54766.7774526121,154.949411696526,-0.857305083942816,7,2297745.44,13,0.0239024418929142,-6283.13449473719,-2277.08218724596,-142123.132062458
2019-04-30,2019,4,Claritas Investimentos,55454.4470405017,14055.8251693158,3.9453,2019-04-30,33.83,1639209.19422115,1634478.22026358,4730.97395757691,-1045.65591321433,55294.3981915168,160.048848984827,-35.3745395440409,7,2299358.33,13,0.0241173575762337,532.720176193063,-38.5949462457174,44038.5040001671
2019-05-31,2019,5,Claritas Investimentos,48329.7276794191,12264.2494174687,3.9407,2019-05-31,35,1380849.36226912,1374763.83112663,6085.53114249036,-2344.0251462634,48116.7340894319,212.993589987163,-82.0408801192191,8,2263049.72,14,0.0213560167292388,-7124.71936108257,-1791.57575184706,-258359.831952038
2019-06-28,2019,6,Claritas Investimentos,42957.4214324286,11209.5979939535,3.8322,2019-06-28,36.26,1184705.50006698,1176153.06168387,8552.4383831094,-104.650647074058,42647.3100166571,310.111415771547,-3.79463246290533,8,2363008.49,14,0.0181791227641457,-5372.30624699044,-1054.65142351523,-196143.862202138
2019-07-31,2019,7,Claritas Investimentos,31689.8136702283,8417.17274568468,3.7649,2019-07-31,34.82,910103.781453999,903380.066398731,6723.71505526819,-119.175450266681,31455.6939120038,234.119758224438,-4.14968917828585,8,2609992.01,14,0.0121417282308953,-11267.6077622004,-2792.42524826883,-274601.718612979
2019-08-30,2019,8,Claritas Investimentos,33685.1354769389,8139.45523183253,4.1385,2019-08-30,33.94,992490.732968148,984921.061852244,7569.6711159043,-1941.15791392074,33428.2208392651,256.914637673792,-65.8828995984699,9,2917975.4,16,0.011544009410408,1995.32180671068,-277.717513852147,82386.9515141486
2019-09-30,2019,9,Claritas Investimentos,82417.0851371551,19790.8666643827,4.1644,2019-09-30,35.03,2352757.2120227,2348666.78339594,4090.42862676045,-2452.36801517903,82273.7974223597,143.287714795419,-85.9064515717216,9,2966732.38,17,0.027780424581861,48731.9496602162,11651.4114325501,1360266.47905455
2019-10-31,2019,10,Claritas Investimentos,103049.119226135,25735.9005085124,4.0041,2019-10-31,36.23,2844303.59442823,2832387.83583975,11915.7585884713,-4186.93887608044,102617.411292474,431.707933660316,-151.692795480394,9,3029278.35,17,0.0340177122469233,20632.0340889795,5945.03384412977,491546.382405528
2019-11-29,2019,11,Claritas Investimentos,86408.259930189,20456.5009304425,4.224,2019-11-29,34.8,2482995.97500543,2480190.24473262,2805.73027281334,-203.79957713896,86310.6205166951,97.6394134939041,-7.0922252844358,9,3128390.77,17,0.0276206734653513,-16640.8592959456,-5279.39957806996,-361307.619422795
2019-12-31,2019,12,Claritas Investimentos,73819.8102012729,18314.389610061,4.0307,2019-12-30,37.1,1989752.29653027,1978263.81924864,11488.4772816283,-2284.58004746287,73393.5876941244,426.222507148411,-84.7579197608726,9,3326953.41,17,0.0221884111690259,-12588.4497289161,-2142.11132038147,-493243.678475165
2020-01-31,2020,1,Claritas Investimentos,66899.4226711959,15669.1468957011,4.2695,2020-01-31,32.82,2038373.63410103,2027503.7473785,10869.8867225276,-12389.1049489024,66542.6729889625,356.749682233357,-406.610424422976,9,3479065.01,17,0.0192291384262451,-6920.38753007697,-2645.24271435989,48621.3375707667
2020-02-28,2020,2,Claritas Investimentos,58682.8054669733,13044.3918169634,4.4987,2020-02-28,32,1833837.67084292,1825590.82110325,8246.84973966587,-22625.2672192963,58418.906275304,263.899191669308,-724.008551017482,8,3445400.11,16,0.017032217911833,-8216.61720422254,-2624.75507873769,-204535.963258116
2020-03-31,2020,3,Claritas Investimentos,65072.0701423872,12516.9888899893,5.1987,2020-03-31,23.09,2818192.73028962,2813736.89293575,4455.8373538664,-3064.77919463614,64969.1848578865,102.885284500775,-70.7657516041485,10,3313220.94,17,0.0196401240124926,6389.26467541389,-527.402926974146,984355.059446699
2020-04-30,2020,4,Claritas Investimentos,52813.5185732477,9731.62310175929,5.427,2020-04-30,22.77,2319434.28077504,2316977.30480548,2456.9759695584,-1736.50039651514,52757.5732304208,55.9453428268448,-39.5401140286498,9,3624907.1,17,0.0145696198871545,-12258.5515691396,-2785.36578822999,-498758.449514576
2020-05-29,2020,5,Claritas Investimentos,40173.640601821,7403.5052617476,5.4263,2020-05-29,23.04,1743647.59556515,1736760.65947592,6886.93608922506,-2446.21163651803,40014.9655943252,158.675007495745,-56.3607161053755,9,3991563.55,17,0.0100646376034326,-12639.8779714267,-2328.11784001169,-575786.685209892
2020-06-30,2020,6,Claritas Investimentos,44325.8817370547,8094.57299800122,5.476,2020-06-30,25.45,1741684.94055225,1737824.91202915,3860.02852309116,-1535.11372656148,44227.644011142,98.2377259126701,-39.0686443409896,9,4513360.62,17,0.00982103702075875,4152.24113523366,691.067736253617,-1962.65501290164
2020-07-31,2020,7,Claritas Investimentos,43211.3544005959,8304.6056157815,5.2033,2020-07-31,26.89,1606967.43773135,1588808.08753533,18159.3501960164,-2740.34840478494,42723.049473825,488.304926770882,-73.687968604667,9,5219072.01,17,0.00827950913836805,-1114.52733645876,210.032617780287,-134717.5028209
2020-08-31,2020,8,Claritas Investimentos,22452.6126070415,4103.70709100972,5.4713,2020-08-31,23.55,953401.8092162,942522.379212062,10879.4300041383,-1013.79037807443,22196.4020304441,256.210576597457,-23.8747634036529,9,5636740.55,17,0.00398326167540947,-20758.7417935544,-4200.89852477178,-653565.628515146
2020-09-30,2020,9,Claritas Investimentos,23237.6462370133,4119.63873934322,5.6407,2020-09-30,22.5,1032784.27720059,1004514.3955709,28269.8816296933,-9577.74466845723,22601.5739003452,636.072336668099,-215.499255040288,9,5477481.05,17,0.00424239646379303,785.033629971815,15.9316483334997,79382.4679843923
