ano,mes,data,ticker,codbdi,tpmerc,preco_fechamento_brl,negocios,quantidade_negociada,volume_brl
2016,1,2016-01-29,ITUB4,02,010,24.95,33102,18526800,456123897
2016,2,2016-02-29,ITUB4,02,010,25.4,31140,21067000,532512146
2016,3,2016-03-31,ITUB4,02,010,31.21,29181,15342500,479720743
2016,4,2016-04-29,ITUB4,02,010,32.87,33789,19684300,645938230
2016,5,2016-05-31,ITUB4,02,010,29.05,50467,32150200,937616473
2016,6,2016-06-30,ITUB4,02,010,30.3,23548,21005600,635069403
2016,7,2016-07-29,ITUB4,02,010,33.79,22471,11872000,399492245
2016,8,2016-08-31,ITUB4,02,010,35.85,32196,16939600,608047236
2016,9,2016-09-30,ITUB4,02,010,35.52,24040,15541100,554593599
2016,10,2016-10-31,ITUB4,02,010,38.4,40847,20939500,804092504
2016,11,2016-11-30,ITUB4,02,010,35.42,29583,12676200,450943138
2016,12,2016-12-29,ITUB4,02,010,33.85,15888,7686400,258863754
2017,1,2017-01-31,ITUB4,02,010,37.24,17892,11259900,418917097
2017,2,2017-02-24,ITUB4,02,010,40.03,16238,6325700,253264886
2017,3,2017-03-31,ITUB4,02,010,37.9,17541,9606300,367520202
2017,4,2017-04-28,ITUB4,02,010,39.26,25814,10957200,428001862
2017,5,2017-05-31,ITUB4,02,010,35.55,30075,13043300,465965139
2017,6,2017-06-30,ITUB4,02,010,36.75,20814,8365000,307684419
2017,7,2017-07-31,ITUB4,02,010,37.32,18984,9309100,346625537
2017,8,2017-08-31,ITUB4,02,010,40.35,17826,8084100,326864145
2017,9,2017-09-29,ITUB4,02,010,43.35,20020,9992000,433248825
2017,10,2017-10-31,ITUB4,02,010,42.05,31376,16774900,711135136
2017,11,2017-11-30,ITUB4,02,010,41.27,34145,18063500,746590375
2017,12,2017-12-28,ITUB4,02,010,42.58,16639,10629800,453145377
2018,1,2018-01-31,ITUB4,02,010,52.26,34477,13985900,734938898
2018,2,2018-02-28,ITUB4,02,010,50.38,41472,28368400,1448542111
2018,3,2018-03-29,ITUB4,02,010,51.31,33380,18563200,954677721
2018,4,2018-04-30,ITUB4,02,010,51.01,16358,6326500,323530334
2018,5,2018-05-30,ITUB4,02,010,42.98,44419,24643300,1059554619
2018,6,2018-06-29,ITUB4,02,010,40.34,46409,16725600,673337809
2018,7,2018-07-31,ITUB4,02,010,45,51889,23692900,1074367679
2018,8,2018-08-31,ITUB4,02,010,42.27,20713,12266000,517935927
2018,9,2018-09-28,ITUB4,02,010,44.13,23292,9545800,419081138
2018,10,2018-10-31,ITUB4,02,010,49.25,39415,16162100,791764928
2018,11,2018-11-30,ITUB4,02,010,36.02,39427,21824300,791259872
2018,12,2018-12-28,ITUB4,02,010,35.5,34431,13683000,481388890
2019,1,2019-01-31,ITUB4,02,010,38.78,55199,26940800,1048522665
2019,2,2019-02-28,ITUB4,02,010,35.23,31868,18012500,636563012
2019,3,2019-03-29,ITUB4,02,010,34.43,33032,19700400,675793552
2019,4,2019-04-30,ITUB4,02,010,33.83,33734,13501100,455863527
2019,5,2019-05-31,ITUB4,02,010,35,39877,18216700,640173129
2019,6,2019-06-28,ITUB4,02,010,36.26,32651,17615100,640661122
2019,7,2019-07-31,ITUB4,02,010,34.82,79602,35542000,1246536190
2019,8,2019-08-30,ITUB4,02,010,33.94,46739,25311700,861173875
2019,9,2019-09-30,ITUB4,02,010,35.03,25169,15985400,562791579
2019,10,2019-10-31,ITUB4,02,010,36.23,38701,26038300,939241971
2019,11,2019-11-29,ITUB4,02,010,34.8,27486,16530900,572877026
2019,12,2019-12-30,ITUB4,02,010,37.1,21989,9225800,342892130
2020,1,2020-01-31,ITUB4,02,010,32.82,46118,25459800,835834207
2020,2,2020-02-28,ITUB4,02,010,32,22462,56066500,1764073977
2020,3,2020-03-31,ITUB4,02,010,23.09,83218,40625200,948071376
2020,4,2020-04-30,ITUB4,02,010,22.77,71010,46293100,1059909435
2020,5,2020-05-29,ITUB4,02,010,23.04,79281,53968500,1240281869
2020,6,2020-06-30,ITUB4,02,010,25.45,49982,45729200,1178212503
2020,7,2020-07-31,ITUB4,02,010,26.89,66290,30880200,835997236
2020,8,2020-08-31,ITUB4,02,010,23.55,61506,45045400,1073792168
2020,9,2020-09-30,ITUB4,02,010,22.5,47614,22314900,502922511
2020,10,2020-10-30,ITUB4,02,010,23.48,69064,39190000,921530769
2020,11,2020-11-30,ITUB4,02,010,28.56,78562,59889300,1719504782
2020,12,2020-12-30,ITUB4,02,010,31.63,46318,25644400,816211680
2021,1,2021-01-29,ITUB4,02,010,28.34,63716,46309700,1328965622
2021,2,2021-02-26,ITUB4,02,010,25.55,70998,48297700,1245925735
2021,3,2021-03-31,ITUB4,02,010,27.97,45016,29378800,823146658
2021,4,2021-04-30,ITUB4,02,010,27.53,44739,42539200,1167407786
2021,5,2021-05-31,ITUB4,02,010,29.54,34414,15501900,458732852
2021,6,2021-06-30,ITUB4,02,010,29.8,39919,22510200,674265110
2021,7,2021-07-30,ITUB4,02,010,30.3,56853,42493300,1293917627
2021,8,2021-08-31,ITUB4,02,010,30.94,71872,43607500,1348682743
2021,9,2021-09-30,ITUB4,02,010,28.93,79578,41797700,1211623834
2021,10,2021-10-29,ITUB4,02,010,23.31,64599,35245900,832508919
2021,11,2021-11-30,ITUB4,02,010,22.38,62408,61042700,1364729966
2021,12,2021-12-30,ITUB4,02,010,20.95,49843,39997300,842176540
