ano,n_rows,valor_class,n_na_valor,n_na_valor_inesperado,valor_min,valor_max,n_fundos,n_datas,data_min,data_max
2016,2332408,character,1,1,-122130,3636779.531,1717,12,2016-01-29,2016-12-30
2017,2508341,character,2,2,-501898.40016,3546680.742,1660,12,2017-01-31,2017-12-29
2018,2797685,numeric,0,0,-379086.678,2308203.81168,1715,12,2018-01-31,2018-12-31
2019,3356582,numeric,0,0,-596497.44505,3171584.64,1936,12,2019-01-31,2019-12-31
2020,4221175,character,3,3,-893413.05662,3170678.47296,2241,12,2020-01-31,2020-12-31
2021,5919192,character,16,16,-1287453.83683,19686623.8623,2542,12,2021-01-29,2021-12-31
