ticker,origin_date,beta_ar,beta_n1_own,beta_n1_market,beta_factor_own,beta_factor,degenerate_rw
CIEL3,2018-12-31,0.912581739364899,0.899727256202966,0.0477230134685166,0.892848077149262,-0.00767909707841799,FALSE
CIEL3,2019-01-31,0.910359875128663,0.896937213017944,0.0498541004058688,0.890119358710337,-0.00787345486544265,FALSE
CIEL3,2019-02-28,0.910702303408653,0.896884634215325,0.0512295092648149,0.89009390575868,-0.00800496239422413,FALSE
CIEL3,2019-03-29,0.910700447503325,0.896609391661776,0.051980211792726,0.889911801884121,-0.00805259288211638,FALSE
CIEL3,2019-04-30,0.91199852368066,0.897769749826516,0.0521949592384385,0.891203331786798,-0.00802786399068599,FALSE
CIEL3,2019-05-31,0.912614339373546,0.89853779482234,0.0513226850458049,0.892100378693365,-0.0078933580253896,FALSE
CIEL3,2019-06-28,0.912559575982249,0.898902718691247,0.0495364202899624,0.892576442387312,-0.00766680092383443,FALSE
CIEL3,2019-07-31,0.91236222412169,0.899057270735335,0.0481211897616414,0.892845019226505,-0.00747320075534021,FALSE
CIEL3,2019-08-30,0.910817179850561,0.897651501135161,0.0475694361050333,0.891516446647986,-0.00738381292849963,FALSE
CIEL3,2019-09-30,0.910607327082488,0.897682245872916,0.0466848444354254,0.891633688909386,-0.00725482235825456,FALSE
CIEL3,2019-10-31,0.910641312334827,0.89725811808484,0.0483597892515702,0.89114867055982,-0.00745292427710932,FALSE
CIEL3,2019-11-29,0.904881235492729,0.89142126141045,0.0485374422520836,0.885170280760842,-0.00752711829922366,FALSE
CIEL3,2019-12-31,0.908725336485552,0.897580573005101,0.0407914229727939,0.891376988305479,-0.00671611634953603,FALSE
CIEL3,2020-01-31,0.8860321222078,0.867238966125076,0.0706639516309097,0.861099784311819,-0.00988365131213496,FALSE
CIEL3,2020-02-28,0.885410677857597,0.866619980388252,0.070734748261118,0.860477801374988,-0.00990710810709382,FALSE
CIEL3,2020-03-31,0.88535502388973,0.866311163268574,0.0717159239692263,0.860245796913327,-0.00998641271001304,FALSE
CIEL3,2020-04-30,0.88622985020605,0.867122714008155,0.0719861815532869,0.861053516917841,-0.0100124487245699,FALSE
CIEL3,2020-05-29,0.886467777612294,0.867474519580543,0.0714834242273584,0.861462972272257,-0.00993434885747384,FALSE
CIEL3,2020-06-30,0.886979376136294,0.868107973517164,0.0709459593223923,0.862158336381666,-0.00985216853485804,FALSE
CIEL3,2020-07-31,0.886859977634759,0.867898360412126,0.0712296542869922,0.861970401797851,-0.00987352926776498,FALSE
CIEL3,2020-08-31,0.88780723451236,0.868911307090988,0.0708424908056688,0.863061326340706,-0.00980464874091182,FALSE
CIEL3,2020-09-30,0.888551839284731,0.869710662424371,0.070509057133531,0.863923043916589,-0.00974617569554636,FALSE
CIEL3,2020-10-30,0.889035683123388,0.870206275640061,0.0703205974043765,0.8644707491113,-0.00970755482180342,FALSE
CIEL3,2020-11-30,0.888940075190307,0.870120684435984,0.0701067255072116,0.864417737440149,-0.00967579935608137,FALSE
CIEL3,2020-12-31,0.887989542413417,0.869570460614991,0.0684293234468892,0.863883096853208,-0.00949616393126181,FALSE
CIEL3,2021-01-29,0.888099436397468,0.870101464340548,0.0668981970571897,0.864534499092921,-0.00928351325435656,FALSE
CIEL3,2021-02-26,0.888051411384467,0.869882296379489,0.0677037859947417,0.864222786047142,-0.00940141842954397,FALSE
CIEL3,2021-03-31,0.888223337534112,0.870059133080106,0.0677028381412016,0.864411909577313,-0.00939431747939298,FALSE
CIEL3,2021-04-30,0.888744610280294,0.870625470820942,0.0675137468761162,0.864997295577566,-0.00936484994289597,FALSE
CIEL3,2021-05-31,0.88775075573407,0.869563430774985,0.0677390050166764,0.863950172481187,-0.00938076812774947,FALSE
CIEL3,2021-06-30,0.887926750826705,0.869631694509257,0.0681141579318798,0.864011100467803,-0.00942257023713014,FALSE
CIEL3,2021-07-30,0.888270120629231,0.869931719409011,0.0681902890813552,0.86432531068388,-0.00942533694346396,FALSE
CIEL3,2021-08-31,0.888735659526536,0.870481959151761,0.0677633317299416,0.864921364938978,-0.0093638594589308,FALSE
CIEL3,2021-09-30,0.889429917863648,0.87122467237544,0.0675192895773779,0.865706171806879,-0.00932152311922326,FALSE
CIEL3,2021-10-29,0.889462230787737,0.871263060262466,0.0674320097627535,0.865773109704517,-0.00930193275679302,FALSE
CIEL3,2021-11-30,0.889938925554311,0.871734366559093,0.0673601372292523,0.866281373223798,-0.00928117240826521,FALSE
ITUB4,2018-12-31,0.802585753663266,0.794778110483865,0.090780490726597,0.787301101227459,-0.00968458127657038,FALSE
ITUB4,2019-01-31,0.833264276155049,0.822404392017986,0.119758599024008,0.816112775988103,-0.0106524782220443,FALSE
ITUB4,2019-02-28,0.882112567004238,0.865940517031899,0.162325736668535,0.859465275003847,-0.0134516507553416,FALSE
ITUB4,2019-03-29,0.764290853685728,0.749379829246673,0.142583949731204,0.744530630478568,-0.0111042479854162,FALSE
ITUB4,2019-04-30,0.764121735418087,0.750141753853847,0.135485550391075,0.745623760508449,-0.0104143079502706,FALSE
ITUB4,2019-05-31,0.781858752622671,0.767997720469866,0.135002885554152,0.763219487173575,-0.0104850621072246,FALSE
ITUB4,2019-06-28,0.807333821069373,0.794597339139664,0.122599874779629,0.79001561235542,-0.00964395537031328,FALSE
ITUB4,2019-07-31,0.843584817958337,0.834010131944472,0.0933923418436431,0.830044574341282,-0.00754407928488825,FALSE
ITUB4,2019-08-30,0.809352712925793,0.802638127035132,0.0696226052222152,0.802159037582074,-0.0040782686200294,FALSE
ITUB4,2019-09-30,0.811970558749583,0.805777501426453,0.0683455276297226,0.804970537398796,-0.00411826755781211,FALSE
ITUB4,2019-10-31,0.835489481547124,0.830526091597133,0.0572858554972285,0.827925530995594,-0.00456650245126457,FALSE
ITUB4,2019-11-29,0.830944431656578,0.826876737993792,0.0490710729219728,0.825089367870914,-0.00358615666676827,FALSE
ITUB4,2019-12-31,0.886429455052494,0.884355663206368,0.0263900725153603,0.880777673443184,-0.00359620735740299,FALSE
ITUB4,2020-01-31,0.823135224749448,0.82284148465893,0.00408466366445267,0.823434636484607,0.00019349241977987,FALSE
ITUB4,2020-02-28,0.83172427161282,0.83086965128727,0.0127326803622488,0.828187650210828,-0.00237456541948717,FALSE
ITUB4,2020-03-31,0.760254332668787,0.759177556308111,0.0164634512208792,0.757098284512326,-0.00214481691389835,FALSE
ITUB4,2020-04-30,0.76182620709605,0.760868485377861,0.0147811742776328,0.758849389111991,-0.00203750266182934,FALSE
ITUB4,2020-05-29,0.76226109632588,0.761336773948883,0.0144636399641851,0.759523566398357,-0.00189280859804548,FALSE
ITUB4,2020-06-30,0.761524904363952,0.760568646425678,0.0151092170352705,0.758736796877751,0.00194475852825913,FALSE
ITUB4,2020-07-31,0.761915866615514,0.761054786150674,0.0136993213402218,0.759158842563338,0.00193391302963967,FALSE
ITUB4,2020-08-31,0.755752833570308,0.754732391394515,0.016379291832424,0.753041738755818,0.00191050342655737,FALSE
ITUB4,2020-09-30,0.758237960365835,0.757187196695642,0.0169771395890203,0.7554360274093,0.00198094869486609,FALSE
ITUB4,2020-10-30,0.757360952611915,0.756236654675718,0.0182049844469216,0.754470953121795,0.0020439452684846,FALSE
ITUB4,2020-11-30,0.756696691281941,0.755854646396992,0.0136423239099578,0.754060109330061,0.0018675180405237,FALSE
ITUB4,2020-12-31,0.758726624757031,0.757975552574743,0.0122694929390015,0.756708111470422,0.00143943968096041,FALSE
ITUB4,2021-01-29,0.754511965039662,0.754130687911363,0.00623669727728539,0.751924457848564,0.00187171743199832,FALSE
ITUB4,2021-02-26,0.754402460516982,0.754062614569579,0.00559608180804899,0.751898668209745,0.00181893235303275,FALSE
ITUB4,2021-03-31,0.754237852334515,0.753823440825096,0.00690062179090813,0.751832187911022,0.00176365712244187,FALSE
ITUB4,2021-04-30,0.754609522907246,0.75415613213234,0.00762720620077472,0.752168741982535,0.00179955584491691,FALSE
ITUB4,2021-05-31,0.757671945931169,0.757122793567181,0.00927826574394752,0.755135757717971,0.00187715084728763,FALSE
ITUB4,2021-06-30,0.75551828980077,0.755358447524438,0.00269381245818944,0.75335607954281,0.00160274140496281,FALSE
ITUB4,2021-07-30,0.759055334046955,0.758919921342004,0.00231545170364679,0.757055810252598,0.00149812828794056,FALSE
ITUB4,2021-08-31,0.762622186359466,0.762009274299133,0.010369843936922,0.76064644493191,0.0014994337184292,FALSE
ITUB4,2021-09-30,0.766188449833947,0.765329406658042,0.0141583173480035,0.764294018977245,0.00144775578729216,FALSE
ITUB4,2021-10-29,0.759506689778466,0.759308161816902,0.00322614758755478,0.757635107799189,0.00144659628160094,FALSE
ITUB4,2021-11-30,0.758012249192036,0.757798766369708,0.00349505370141871,0.756050541398087,0.00152736562602706,FALSE
BBDC4,2018-12-31,0.82245264794848,0.826774176010072,-0.0325523779797317,0.823320757389495,0.000521256527065008,FALSE
BBDC4,2019-01-31,0.866326762692579,0.864711820449328,0.0118148802548227,0.86000035392899,-0.00369976140328802,FALSE
BBDC4,2019-02-28,0.852228726790788,0.850954215108803,0.00827674748018185,0.84636033778669,-0.00311581504899311,FALSE
BBDC4,2019-03-29,0.851655767590858,0.850953887566899,0.0043026854081929,0.846321252867016,-0.00272187420977154,FALSE
BBDC4,2019-04-30,0.861591315066972,0.860774111924117,0.00487303730165425,0.856261032681483,-0.00267281986790712,FALSE
BBDC4,2019-05-31,0.874432233505641,0.871748900665349,0.0156950711214317,0.866876382705204,-0.00371545104524354,FALSE
