model,RMSE,MAE,skill_vs_RW_pct,dm_p
RW,41104.3518794586,14347.0042826052,0,
AR,41535.8151310809,15256.6006274125,-1,0.800663589471945
Media,41629.6076029111,14536.2631333954,-1.3,0.0819166341237483
PCA,46890.2173594434,17643.9216003132,-14.1,0.155379656472123
