ano,linhas,pct_acoes,dup_keys,dup_extra_linhas,itub4_dup_keys,pct_com_ticker,v_neg,v_zero,v_max_mil,v_min_mil
2016,2332408,100,4291,4291,36,99.73,446707,91513,3636780,-122130
2017,2508341,100,4746,4746,36,99.82,515351,20132,3546681,-501898
2018,2797685,100,5401,5403,36,99.1,549383,11707,2308204,-379087
2019,3356582,100,7576,7598,36,98.93,622239,15633,3171585,-596497
2020,4221175,100,9807,9829,36,99.02,804466,18004,3170678,-893413
2021,5919192,100,9616,9628,36,99.11,1044822,23903,19686624,-1287454
