ticker,n_gestoras,rmse_rw,rmse_ar,skill_pct,degenerate_rw
BVMF3,26,0,2831.86820639271,,TRUE
VVAR11,15,0,765.250223977834,,TRUE
MLFT4,10,0,58.4810178366264,,TRUE
GOLL12,17,8.75265038425739,6.67664748700151,23.7,FALSE
CGAS5,19,1392.66529008661,1205.15031268104,13.5,FALSE
ITUB4,36,42822.4725301647,38598.9185466468,9.9,FALSE
PETR3,35,22828.6732866132,20624.3067881016,9.7,FALSE
ITSA4,34,19954.4624185164,18036.6980126413,9.6,FALSE
DMMO3,9,164.754367197601,151.11391847704,8.3,FALSE
FIBR3,20,20193.6033234344,18626.0226579875,7.8,FALSE
ALSC3,25,4274.98136010462,3954.08209313596,7.5,FALSE
IRBR3,24,25655.1564780945,24065.1234911561,6.2,FALSE
BRGE3,15,1.50413329171388,1.41981504698393,5.6,FALSE
BRSR3,7,2.973725165072,2.84400657559506,4.4,FALSE
ENGI1,11,2057.9861258196,1974.50365489604,4.1,FALSE
TESA3,12,1572.71175932844,1511.41766014828,3.9,FALSE
RDNI3,16,496.773044457067,478.972892237374,3.6,FALSE
GOLL4,29,6448.2165082798,6229.68250087987,3.4,FALSE
TIET11,18,1752.30066414181,1705.38851973353,2.7,FALSE
ENGI4,11,33.9536815000475,33.0447784680474,2.7,FALSE
ROMI3,15,536.138210589811,526.538656162201,1.8,FALSE
SEDU3,11,446.506486412948,440.449290197327,1.4,FALSE
RLOG3,23,2380.43567729574,2363.88257156029,0.7,FALSE
TCSA3,18,679.48733487451,675.45237612013,0.6,FALSE
BOVA11,22,25690.9863231026,25558.8120839998,0.5,FALSE
HGTX3,28,10959.8251949223,10923.3877521529,0.3,FALSE
TGMA3,23,3825.43941565325,3820.02220653587,0.1,FALSE
POMO4,17,1679.82774605208,1683.45399052458,-0.2,FALSE
ETER3,7,116.472402876053,116.685181456369,-0.2,FALSE
LINX3,24,6690.5205720972,6712.59103474998,-0.3,FALSE
MPLU3,6,3253.30143458732,3268.82877519835,-0.5,FALSE
TEND3,20,4647.32533703211,4676.65714419062,-0.6,FALSE
ITUB3,21,1337.65745651478,1347.19556569852,-0.7,FALSE
BRAP3,17,234.260156995087,236.180608520816,-0.8,FALSE
IGTA3,33,6084.72881094679,6139.1972008901,-0.9,FALSE
LLIS3,13,387.454186352471,391.462357732075,-1,FALSE
BBSE3,28,4292.81309673552,4358.45533429106,-1.5,FALSE
RAPT3,15,35.4503391156266,36.0319231595711,-1.6,FALSE
BRDT3,33,26433.0630076704,26900.626648776,-1.8,FALSE
ESTC3,27,3157.65664311323,3217.18189855528,-1.9,FALSE
VIVT4,24,5621.13629865863,5762.38446018877,-2.5,FALSE
SANB11,30,5789.44737561515,5969.23234736417,-3.1,FALSE
BRKM5,31,3764.56575448062,3886.58282677978,-3.2,FALSE
CVCB3,33,6072.95320561617,6269.72698152029,-3.2,FALSE
MEAL3,22,3805.02534930612,3935.82628596419,-3.4,FALSE
CRIV3,15,14.8205836601156,15.3211192173961,-3.4,FALSE
PARD3,21,2827.02700426289,2923.36012274473,-3.4,FALSE
UNIP3,15,69.4668410883119,71.9346522058314,-3.6,FALSE
ODPV3,13,1856.09565866335,1928.56975332558,-3.9,FALSE
ELET6,32,5694.47904798995,5922.5490143897,-4,FALSE
ITSA3,17,19.6994448340468,20.4838250379064,-4,FALSE
MYPK3,23,2701.62058228842,2821.89937156222,-4.5,FALSE
GGBR4,32,14362.7475186226,15028.1392796414,-4.6,FALSE
PETR4,39,38056.7469421243,39857.1461322298,-4.7,FALSE
QGEP3,18,451.055992068288,473.558377133281,-5,FALSE
BRSR6,24,5332.07744207779,5603.43430662574,-5.1,FALSE
BIDI4,18,6020.10444594417,6337.94062355742,-5.3,FALSE
GFSA3,17,527.71540895803,557.721265579457,-5.7,FALSE
ANIM3,22,4881.7639819868,5174.75020588043,-6,FALSE
NATU3,25,10417.3872921176,11057.0677407142,-6.1,FALSE
TUPY3,22,1872.26871699911,1988.2511781578,-6.2,FALSE
CIEL3,28,5635.84448130067,5993.63655928585,-6.3,FALSE
PMAM3,9,340.80647479286,362.940809568003,-6.5,FALSE
CRDE3,19,92.5274628896432,98.6188019247253,-6.6,FALSE
GUAR3,27,5315.43641812752,5689.68804197584,-7,FALSE
CGAS3,13,159.074581577466,170.233831184209,-7,FALSE
BRML3,34,9184.58624518639,9860.16892076615,-7.4,FALSE
HAPV3,31,11383.1633900258,12220.6312910765,-7.4,FALSE
ELET3,34,11531.8920582193,12398.7231898445,-7.5,FALSE
AALR3,21,1386.70489835707,1490.4854870018,-7.5,FALSE
USIM5,31,5632.59468375804,6058.30314200767,-7.6,FALSE
RAIL3,32,12515.0894361533,13488.1072356858,-7.8,FALSE
SMLS3,26,3982.79331909717,4293.15163807173,-7.8,FALSE
RAPT4,21,2910.82786028272,3139.93984898277,-7.9,FALSE
JOPA3,15,3.57548183066676,3.86665306840892,-8.1,FALSE
CLSC4,14,207.676673534597,224.517078750545,-8.1,FALSE
VALE3,37,41105.3007539363,44536.938402434,-8.3,FALSE
CESP6,32,8539.76948204211,9275.32440878423,-8.6,FALSE
BBAS3,35,18091.090805855,19656.8251204191,-8.7,FALSE
OIBR4,9,42.0686072637584,45.7697818773752,-8.8,FALSE
POSI3,13,2280.23819808446,2479.80896491399,-8.8,FALSE
BBRK3,18,175.450504303447,191.462204808767,-9.1,FALSE
SSBR3,16,138.784603335656,151.582608105304,-9.2,FALSE
HYPE3,37,5619.95889401339,6147.17734845316,-9.4,FALSE
BBDC4,34,23759.3246891536,26008.7414611379,-9.5,FALSE
MILS3,20,675.893660405484,740.125218009684,-9.5,FALSE
SAPR11,24,7383.60067368552,8088.04735415118,-9.5,FALSE
TIMP3,30,7815.95561658418,8571.72854608159,-9.7,FALSE
PCAR4,27,7769.93131031432,8524.03216606997,-9.7,FALSE
MYPK12,16,8.41392987800264,9.23822318663594,-9.8,FALSE
PTBL3,16,633.940382185164,696.611142603414,-9.9,FALSE
CRFB3,28,6980.57667117038,7680.20884931761,-10,FALSE
CPLE6,25,5510.23072773402,6065.32879807253,-10.1,FALSE
MULT3,34,9125.13118974137,10055.4299820613,-10.2,FALSE
BTOW3,31,8220.12436697999,9063.81755070105,-10.3,FALSE
DTEX3,22,5702.18382057047,6288.71709776774,-10.3,FALSE
JPSA3,20,1866.67392995807,2058.26471773276,-10.3,FALSE
CMIG4,31,8194.32153897594,9053.19893130677,-10.5,FALSE
CSMG3,27,4028.68800131691,4457.99564740318,-10.7,FALSE
MGLU3,31,19331.9002633624,21391.9943807503,-10.7,FALSE
VVAR3,30,16269.7962610612,18004.9698821701,-10.7,FALSE
DIRR3,21,1219.73263592931,1351.78509703459,-10.8,FALSE
ABEV3,32,15702.8272203329,17415.8193577802,-10.9,FALSE
SEER3,23,1192.31660727575,1322.10628872996,-10.9,FALSE
SMTO3,25,2137.98421692409,2372.19314210893,-11,FALSE
RENT3,34,16751.7035346534,18652.7553870667,-11.3,FALSE
LREN3,37,19157.815980137,21352.1358422988,-11.5,FALSE
TAEE11,28,2756.00266609569,3072.98062273727,-11.5,FALSE
LAME4,32,10259.4974618355,11453.7206924027,-11.6,FALSE
