model,RMSE_acoes,MAE_acoes,dir_hit,RMSE_mi_acoes,MAE_mi_acoes,skill_RMSE,skill_MAE
AR_encolhido,5388765.62649,2039027.41975203,50.4,5.38876562649,2.03902741975203,0.6,-0.9
RW,5420448.6696795,2021604.41825794,,5.4204486696795,2.02160441825794,0,0
AR,5488056.11071376,2121440.65138307,50.4,5.48805611071376,2.12144065138307,-1.2,-4.9
PCA2,6046379.08141881,2473907.91965191,50.4,6.04637908141881,2.47390791965191,-11.5,-22.4
PCA3,6189541.09020498,2543940.30354061,50.4,6.18954109020498,2.54394030354061,-14.2,-25.8
PCA1,6291863.90207639,2283674.03435788,50,6.29186390207639,2.28367403435788,-16.1,-13
