ano,mes,grupo,gross_mil,dup_mil,dedup_mil,dup_pct
2016,1,ARX Investimentos,55258.1403113709,19669.345194583,35588.7951167879,35.5953803073165
2016,1,AZ Legan,-349.213883315729,-11.3787945889987,-337.835088726731,3.25840269606664
2016,1,AZ Quest Investimentos,72211.0972544432,20275.6976518639,51935.3996025792,28.0783680386692
2016,1,Atmos Capital,-130321.414725335,-65954.53025998,-64366.884465355,50.6091269796185
2016,1,BB,162291.701606233,38737.7597613782,123553.941844855,23.8692178207406
2016,1,BNP Paribas,81575.945757953,15615.2995386335,65960.6462193195,19.1420392292677
2016,1,BTG Pactual,110738.124854609,45334.0991227128,65404.0257318966,40.9381133934072
2016,1,Bogari Capital,122.711903727258,39.3672057972681,83.3446979299898,32.0809999694622
2016,1,Bradesco,343493.289056445,101364.830357384,242128.458699061,29.5099885752722
2016,1,Caixa,37594.1862049757,7542.17585243669,30052.0103525391,20.062080374115
2016,1,Claritas Investimentos,18167.5752839843,2686.42144863724,15481.1538353471,14.7869014254503
2016,1,Constellation Asset Management,28456.1484520247,12959.1330236456,15497.0154283791,45.5407134436831
2016,1,Credit Suisse,75753.2717357789,2101.46190916409,73651.8098266148,2.77408732456311
2016,1,Daycoval Asset Management,2045.50542895609,245.961308971076,1799.54411998501,12.0244759798365
2016,1,Forpus Capital,0,0,0,
2016,1,Guepardo Investimentos,21905.6799633316,11312.5537125966,10593.126250735,51.6421025575691
2016,1,Ibiuna Investimentos,16744.9057566016,8086.99992408241,8657.9058325192,48.2952847966561
2016,1,Itaú,648502.410386011,221941.658748628,426560.751637383,34.2237214841685
2016,1,JGP,20641.2728980755,5030.00145705497,15611.2714410205,24.3686592483545
2016,1,Julius Baer Family Office,33499.5751712975,9221.57541577862,24277.9997555189,27.5274398813262
2016,1,Kapitalo Investimentos,-14795.4731388409,-6138.42540699574,-8657.04773184519,41.4885374018976
2016,1,Kinea Investimentos,321,0,321,0
2016,1,Núcleo Capital,13976.6219238243,4432.5051246868,9544.11679913753,31.7137084257193
2016,1,Occam Brasil,390236.47855614,160581.217348112,229655.261208028,41.1497197653731
2016,1,Opportunity,-57836.1604079431,-11584.7056854448,-46251.4547224983,20.0302122473776
2016,1,Plural,72205.0151309556,339.19155836468,71865.8235725909,0.46976177174051
2016,1,Real Investor,36.5135035334976,0,36.5135035334976,0
2016,1,SPX Capital,354260.505532415,177474.129302716,176786.3762297,50.0970688324376
2016,1,Safra,486341.030150172,176594.493402906,309746.536747265,36.3108359063141
2016,1,Santander,122228.790661157,34018.664160728,88210.1265004286,27.8319567564362
2016,1,Sharp Capital,23515.2207445034,886,22629.2207445034,3.76777241271316
2016,1,Squadra Investimentos,87038.4772617787,38137.0001351719,48901.4771266068,43.8162538396327
