ticker,model,RMSE,MAE,RMSE_RW,MAE_RW,skill_rmse_pct,skill_mae_pct
AALR3,RW,1386.70489835707,280.355584703675,1386.70489835707,280.355584703675,0,0
AALR3,AR1_painel,1454.30560718491,371.456808687205,1386.70489835707,280.355584703675,-4.87491671140252,-32.4948846943144
AALR3,AR1_indiv,1456.57411134599,368.22452097727,1386.70489835707,280.355584703675,-5.03850625116415,-31.341960377379
AALR3,N1_painel,1456.85917457897,398.100995757659,1386.70489835707,280.355584703675,-5.05906312907807,-41.9985965959754
AALR3,FATOR1_painel,1457.54411893476,396.752296105352,1386.70489835707,280.355584703675,-5.10845679290659,-41.5175290781898
ABCB4,AR1_painel,1279.63311047684,424.900323669232,1286.5391011217,405.288000105492,0.536788243656594,-4.83910788343958
ABCB4,AR1_indiv,1284.3139644576,416.269241093852,1286.5391011217,405.288000105492,0.172955230211125,-2.70949077828651
ABCB4,FATOR1_painel,1284.90520642873,440.480402131574,1286.5391011217,405.288000105492,0.126999225406632,-8.68330718326746
ABCB4,N1_painel,1285.59634504815,439.980024760047,1286.5391011217,405.288000105492,0.0732784625615657,-8.55984501034444
ABCB4,RW,1286.5391011217,405.288000105492,1286.5391011217,405.288000105492,0,0
ABEV3,RW,15702.8272203329,5949.34678896832,15702.8272203329,5949.34678896832,0,0
ABEV3,AR1_indiv,15754.8885112338,6334.67853806116,15702.8272203329,5949.34678896832,-0.331540875859204,-6.47687490343216
ABEV3,FATOR1_painel,15967.2065662545,6756.42953262083,15702.8272203329,5949.34678896832,-1.68364169211082,-13.5659051704475
ABEV3,AR1_painel,15976.2805797085,6521.52022512523,15702.8272203329,5949.34678896832,-1.74142755020259,-9.61741610386326
ABEV3,N1_painel,15990.4256699982,6555.50969709618,15702.8272203329,5949.34678896832,-1.83150744531477,-10.1887304544399
AGRO3,AR1_indiv,859.134915969373,234.414064408648,861.80156666889,234.607314350248,0.309427460177902,0.0823716609752778
AGRO3,RW,861.80156666889,234.607314350248,861.80156666889,234.607314350248,0,0
AGRO3,AR1_painel,873.752998855023,238.477025669449,861.80156666889,234.607314350248,-1.38679629376037,-1.64944188970355
AGRO3,FATOR1_painel,874.49461266249,244.023539958517,861.80156666889,234.607314350248,-1.47285018785268,-4.01361126968607
AGRO3,N1_painel,882.38080552621,267.602344498572,861.80156666889,234.607314350248,-2.38793240268349,-14.0639392423485
ALPA3,RW,258.270804863431,68.8811529292014,258.270804863431,68.8811529292014,0,0
ALPA3,AR1_painel,264.831133069259,75.1368922347744,258.270804863431,68.8811529292014,-2.54009670558664,-9.08193176151226
ALPA3,AR1_indiv,264.839045376056,75.1575257264826,258.270804863431,68.8811529292014,-2.54316027554797,-9.11188696817002
ALPA3,N1_painel,281.643468623815,92.8765931843501,258.270804863431,68.8811529292014,-9.04967318034373,-34.8360026432951
ALPA3,FATOR1_painel,300.926330003293,98.7102994135538,258.270804863431,68.8811529292014,-16.51581376471,-43.3052369419715
ALPA4,RW,9902.99628604589,4271.02819453318,9902.99628604589,4271.02819453318,0,0
