model,N,RMSE,MAE,direction_acc,skill_rmse_pct,skill_mae_pct,loss_diff,p_boot_improve,ci_low,ci_high
RW,183924,10751.9384065978,2637.57050142278,,0,0,,,,
AR1_painel,183924,10854.7281630017,2785.51834399832,51.9,-0.96,-5.61,-2220943.99339028,0.777,-7610404.5079529,4734476.61689028
N1_painel,183924,10869.4046011611,2869.3828070002,51,-1.09,-8.79,-2539776.88447127,0.814,-7990337.1791653,3402051.55684597
AR1_indiv,183924,10870.2571636719,2820.59138459036,51.9,-1.1,-6.94,-2558311.30508877,0.778,-8276108.63564349,3849885.54186198
FATOR1_painel,183924,10874.0098013217,2877.50152341171,51,-1.14,-9.1,-2639909.65996861,0.829,-8218132.05819711,3592224.47408781
