model,RMSE,MAE,dir_hit,skill_RMSE,skill_MAE
RW,41104.3518794586,14347.0042826052,0,0,0
AR_encolhido,40704.2356328829,14605.7807998169,47.8,1,-1.8
AR,41535.8151310809,15256.6006274125,47.8,-1,-6.3
PCA1,42259.5161525152,15581.3953794142,48.2,-2.8,-8.6
PCA2,46412.146450546,16739.9990492567,49.6,-12.9,-16.7
PCA3,46890.2173594434,17643.9216003132,50.8,-14.1,-23
