h,model,RMSE_acoes,rmse_rw,RMSE_mi_acoes,skill_pct
1,AR_indiv,5166811.52045228,5356160.34687277,5.16681152045228,3.5
1,RW,5356160.34687277,5356160.34687277,5.35616034687277,0
1,AR1_painel,5371216.3309592,5356160.34687277,5.3712163309592,-0.3
3,RW,7426665.90195964,7426665.90195964,7.42666590195964,0
3,AR1_painel,7542264.66927859,7426665.90195964,7.54226466927859,-1.6
3,AR_indiv,7622568.74841686,7426665.90195964,7.62256874841686,-2.6
6,RW,8557750.59499121,8557750.59499121,8.55775059499121,0
6,AR1_painel,9508056.5852243,8557750.59499121,9.5080565852243,-11.1
6,AR_indiv,9745375.30481949,8557750.59499121,9.7453753048195,-13.9
