n_rows_diarias,pl_class,n_gestoras,n_fundos,n_na_pl,pct_fic_linhas,ano
504856,character,50,2312,0,0.525949973853931,2016
493945,character,49,2196,0,0.529777606818573,2017
509218,character,49,2270,0,0.543038541449831,2018
555432,character,49,2534,0,0.559090941825462,2019
644803,character,50,2942,0,0.593632473794322,2020
763328,character,50,3432,0,0.605900739917833,2021
