definicao,pos_brl_total_mil,pos_usd_media_mil,qtd_total_mi,qtd_media_mi,n_gestora_mes,n_pos_negativa,n_qtd_negativa,peso_mediano,peso_max
direta,468256668.330772,38994.0962745164,14766.6755194486,5.20870388693071,2835,0,0,0.008192297717364,0.209621242579244
long,540105280.015185,45142.5485348898,17022.9859882413,6.00458059549959,2835,0,0,0.00962255148075142,0.209621278689498
net,496505758.401053,41356.5793634573,15712.0383482828,5.54216520221614,2835,264,264,0.00842616307975629,0.20961778545553
